,Unnamed: 0,Unnamed: 0.1,mode,price,catch,pbeach,ppier,pboat,pcharter,cbeach,cpier,cboat,ccharter,income,log_income,pdiff
3,3,4,pier,15.134,0.0789,15.134,15.134,55.93,84.93,0.0678,0.0789,0.1643,0.5391,2083.3332,7.641724390062335,0.0
10,10,11,pier,34.914,0.0451,34.914,34.914,24.334,48.334,0.1049,0.0451,0.1574,0.4671,3749.9999,8.22951109229779,0.0
12,12,13,pier,17.862000000000005,0.0451,17.862000000000005,17.862000000000005,4.122,28.122,0.1049,0.0451,0.0023,0.0046,1249.9998,7.130898670296334,0.0
13,13,14,pier,15.134,0.0789,15.134,15.134,55.93,84.93,0.0678,0.0789,0.0014,0.0029,2083.3332,7.641724390062335,0.0
15,15,16,pier,33.534,0.0789,33.534,33.534,123.93,152.93,0.0678,0.0789,0.1643,0.5391,5416.6667,8.59723590524362,0.0
17,17,18,pier,33.462,0.0079,33.462,33.462,7.722,31.722,0.1049,0.0079,0.0613,0.3087,2916.6666,7.978196667826407,0.0
26,26,27,pier,50.32,0.0451,50.32,50.32,49.062,73.062,0.1049,0.0451,0.1574,0.4671,4583.332,8.430181523517474,0.0
34,34,35,pier,25.662,0.0079,25.662,25.662,5.9220000000000015,29.922,0.1049,0.0079,0.0613,0.3087,2083.3332,7.641724390062335,0.0
36,36,37,pier,120.004,0.0789,120.004,120.004,252.64,281.64,0.0678,0.0789,0.0014,0.0029,12499.998,9.43348376329038,0.0
39,39,40,pier,32.604,0.0789,32.604,32.604,68.64,97.64,0.0678,0.0789,0.1643,0.5391,2916.6666,7.978196667826407,0.0
45,45,46,pier,19.896,0.0789,19.896,19.896,89.53200000000002,118.532,0.0678,0.0789,0.0014,0.0029,6250.0013,8.740336950730425,0.0
51,51,52,pier,5.9220000000000015,0.0789,5.9220000000000015,5.9220000000000015,48.692,77.692,0.0678,0.0789,0.1643,0.5391,2083.3332,7.641724390062335,0.0
60,60,61,pier,5.9220000000000015,0.0789,5.9220000000000015,5.9220000000000015,48.692,77.692,0.0678,0.0789,0.0014,0.0029,2083.3332,7.641724390062335,0.0
61,61,62,pier,93.092,0.0503,93.092,93.092,93.092,118.092,0.0678,0.0503,0.2601,0.5391,4583.332,8.430181523517474,0.0
64,64,65,pier,9.522,0.0789,9.522,9.522,78.292,107.292,0.0678,0.0789,0.1643,0.5391,3749.9999,8.22951109229779,0.0
69,69,70,pier,33.462,0.0451,33.462,33.462,7.722,31.722,0.1049,0.0451,0.1574,0.4671,2916.6666,7.978196667826407,0.0
88,88,89,pier,100.674,0.4522,100.674,100.674,15.134,50.13399999999999,0.5333,0.4522,0.2413,1.0266,2083.3332,7.641724390062335,0.0
89,89,90,pier,104.214,0.1498,104.214,104.214,104.214,122.714,0.2537,0.1498,0.2339,0.6288,12499.998,9.43348376329038,0.0
98,98,99,pier,43.74,0.1498,43.74,43.74,52.488,70.988,0.2537,0.1498,0.2339,0.6288,5416.6667,8.59723590524362,0.0
101,101,102,pier,31.74,0.1498,31.74,31.74,38.088,56.588,0.2537,0.1498,0.2339,0.6288,3749.9999,8.22951109229779,0.0
108,108,109,pier,16.77,0.0789,16.77,16.77,32.766,61.76600000000001,0.0678,0.0789,0.1643,0.5391,416.66668,6.0322865736282365,0.0
126,126,127,pier,55.74,0.1498,55.74,55.74,66.888,85.38799999999998,0.2537,0.1498,0.2339,0.6288,7083.3317,8.86549965509619,0.0
128,128,129,pier,49.74,0.1498,49.74,49.74,59.688,78.188,0.2537,0.1498,0.2339,0.6288,6250.0013,8.740336950730425,0.0
158,158,159,pier,49.572,0.0789,49.572,49.572,121.014,150.014,0.0678,0.0789,0.1643,0.5391,5416.6667,8.59723590524362,0.0
193,193,194,pier,21.714,0.1498,21.714,21.714,21.714,40.214,0.2537,0.1498,0.2339,0.6288,2083.3332,7.641724390062335,0.0
197,197,198,pier,75.50399999999998,0.0503,75.50399999999998,75.50399999999998,75.50399999999998,100.504,0.0678,0.0503,0.2601,0.5391,2916.6666,7.978196667826407,0.0
203,203,204,pier,26.106,0.0025,26.106,26.106,40.304,69.304,0.0678,0.0025,0.0499,0.2421,1249.9998,7.130898670296334,0.0
209,209,210,pier,47.804,0.0789,47.804,47.804,100.64,129.64,0.0678,0.0789,0.0014,0.0029,4583.332,8.430181523517474,0.0
